,coefficient,words,model
94,0.0020948293713966303,dead,DecisionTreeRegressor
95,0.0020931934627249384,attractive,DecisionTreeRegressor
96,0.002078602155120193,medical,DecisionTreeRegressor
97,0.0020701542093932326,comment,DecisionTreeRegressor
98,0.002059008522108549,speak,DecisionTreeRegressor
99,0.0020461903401092617,que,DecisionTreeRegressor
0,0.039620536579548324,truly,RandomForestRegressor
1,0.035123512127110706,knows,RandomForestRegressor
2,0.03104833584798927,high,RandomForestRegressor
3,0.014911955867278283,human,RandomForestRegressor
4,0.014711506814879082,view,RandomForestRegressor
5,0.013635377526453163,comes,RandomForestRegressor
6,0.010542225623909825,general,RandomForestRegressor
7,0.010476586299180832,not,RandomForestRegressor
8,0.007812211574975869,away,RandomForestRegressor
9,0.007341578643433214,stop,RandomForestRegressor
10,0.006083910535745041,girl,RandomForestRegressor
11,0.005879799503538577,currently,RandomForestRegressor
12,0.005848321366638074,either,RandomForestRegressor
13,0.0047201387513602245,amazing,RandomForestRegressor
14,0.004612336199450431,huge,RandomForestRegressor
15,0.004549597045353893,lets,RandomForestRegressor
16,0.004381224952831248,lose,RandomForestRegressor
17,0.004291692731286458,wasnt,RandomForestRegressor
18,0.004148839991516277,public,RandomForestRegressor
19,0.004049400227023076,happened,RandomForestRegressor
20,0.004031708225372359,man,RandomForestRegressor
21,0.00393232188522815,here,RandomForestRegressor
22,0.0038184112487334027,hours,RandomForestRegressor
23,0.003671309976885911,meant,RandomForestRegressor
24,0.003623126110321823,to,RandomForestRegressor
25,0.003595140005247219,gave,RandomForestRegressor
26,0.0035203732602043106,mostly,RandomForestRegressor
27,0.003512835308648661,law,RandomForestRegressor
28,0.003425721608812394,should,RandomForestRegressor
29,0.0033331034898474855,poor,RandomForestRegressor
30,0.0032841092185614262,totally,RandomForestRegressor
31,0.003230738346264507,text,RandomForestRegressor
32,0.003212023713659772,eye,RandomForestRegressor
33,0.003144858669469389,bc,RandomForestRegressor
34,0.0030633254098949175,very,RandomForestRegressor
35,0.002985592048257493,given,RandomForestRegressor
36,0.0028725618158300086,giving,RandomForestRegressor
37,0.0028530648901795267,fuck,RandomForestRegressor
38,0.002813270373955684,daughter,RandomForestRegressor
39,0.0027526765644437304,recently,RandomForestRegressor
40,0.00275181987457062,help,RandomForestRegressor
41,0.0027231984841886723,new,RandomForestRegressor
42,0.0027205971162740654,sad,RandomForestRegressor
43,0.002717825449000742,pretty,RandomForestRegressor
44,0.0027043915669748664,back,RandomForestRegressor
45,0.0026437118867672776,fat,RandomForestRegressor
46,0.002606255837493418,anything,RandomForestRegressor
47,0.0025828446663711943,also,RandomForestRegressor
48,0.0025798384839646285,based,RandomForestRegressor
49,0.002560519494865939,first,RandomForestRegressor
50,0.0025275117201584364,non,RandomForestRegressor
51,0.0024086073902905873,move,RandomForestRegressor
52,0.002407330389096377,understanding,RandomForestRegressor
53,0.00237237587759577,sub,RandomForestRegressor
54,0.0023469254555125497,focus,RandomForestRegressor
55,0.002337868006552065,reasons,RandomForestRegressor
56,0.002317274656745802,put,RandomForestRegressor
57,0.0022834616088429306,ill,RandomForestRegressor
58,0.0022575220677998812,kind,RandomForestRegressor
59,0.002239283498261233,thank,RandomForestRegressor
60,0.002225909271368821,happen,RandomForestRegressor
61,0.0022250468200416865,depends,RandomForestRegressor
62,0.002201631321187168,dead,RandomForestRegressor
63,0.0021967944949733533,calling,RandomForestRegressor
64,0.0021957734256319193,multiple,RandomForestRegressor
65,0.002191087238850266,time,RandomForestRegressor
66,0.00217821020378636,lack,RandomForestRegressor
67,0.0021599581494503735,son,RandomForestRegressor
68,0.0021580288570490556,feel,RandomForestRegressor
69,0.002153972585759335,lived,RandomForestRegressor
70,0.0021443079382422433,next,RandomForestRegressor
71,0.002137467453421152,medical,RandomForestRegressor
72,0.0021155050127178586,boy,RandomForestRegressor
73,0.002111012684842996,an,RandomForestRegressor
74,0.0020977687051571023,shes,RandomForestRegressor
75,0.0020920133070051225,left,RandomForestRegressor
76,0.002084283380332811,wait,RandomForestRegressor
77,0.0020781352566847334,generally,RandomForestRegressor
78,0.002074682121432202,true,RandomForestRegressor
79,0.0020679210576485,lot,RandomForestRegressor
80,0.002064586901930288,que,RandomForestRegressor
81,0.0020644411264028346,needed,RandomForestRegressor
82,0.0020487309003322965,starting,RandomForestRegressor
83,0.002024333434682592,second,RandomForestRegressor
84,0.002021630992019301,thinking,RandomForestRegressor
85,0.002007835487181006,only,RandomForestRegressor
86,0.0019898387446552297,health,RandomForestRegressor
87,0.0019792199889851385,month,RandomForestRegressor
88,0.0019764480950740415,company,RandomForestRegressor
89,0.0019730358209339755,actual,RandomForestRegressor
90,0.001951909936605728,sleep,RandomForestRegressor
91,0.0019447136030509324,regular,RandomForestRegressor
92,0.0019441940243394532,mother,RandomForestRegressor
93,0.0019390522321786217,still,RandomForestRegressor
94,0.0019235926546242376,lives,RandomForestRegressor
95,0.0019212979249495007,hot,RandomForestRegressor
96,0.0019193299063641734,stay,RandomForestRegressor
97,0.0019055205369315374,over,RandomForestRegressor
98,0.0018883928479313688,sent,RandomForestRegressor
99,0.0018842879153291197,problem,RandomForestRegressor
0,31.14159809927835,truly,SVR
1,28.299704418825836,high,SVR
2,24.478930025996036,knows,SVR
3,24.31833428556225,general,SVR
4,22.297279260350948,view,SVR
5,20.389097410302586,fuck,SVR
6,19.3710994814819,girl,SVR
7,19.02094580774741,check,SVR
8,17.82465177627693,wasnt,SVR
9,17.52918645929469,places,SVR
10,17.037601870179405,very,SVR
11,17.02129744057295,mother,SVR
12,16.894695383771275,away,SVR
13,16.611041324052508,stick,SVR
14,16.34415257026676,lose,SVR
15,16.328912085482358,public,SVR
16,16.28520144213372,gave,SVR
17,16.077368592998482,comes,SVR
18,15.788255309247054,currently,SVR
19,15.76964467958837,theres,SVR
20,15.140217012059995,poor,SVR
21,14.744029990359211,fucked,SVR
22,14.69596211068788,health,SVR
23,14.695260575037329,non,SVR
24,13.82879354212694,forget,SVR
25,13.419185394023659,reasons,SVR
26,13.357805876609744,immediately,SVR
27,13.264418538398694,cost,SVR
28,13.25202134993929,sent,SVR
29,13.225563035616187,move,SVR
30,13.004183671722851,sad,SVR
31,12.83353640465672,suggest,SVR
32,12.808609208493174,daughter,SVR
33,12.609934096332882,leave,SVR
34,12.491502502642705,eye,SVR
35,12.462450757236367,call,SVR
36,12.418639615437652,human,SVR
37,12.364191876453992,me,SVR
38,12.276539608857338,energy,SVR
39,12.198552192601284,eventually,SVR
40,12.19211234314156,40,SVR
41,12.069618025370092,lot,SVR
42,12.054452761561791,again,SVR
43,12.045176653090648,anything,SVR
44,12.000704028644911,to,SVR
45,11.998771141558752,certainly,SVR
46,11.99061466717719,his,SVR
47,11.918007365242318,giving,SVR
48,11.797097444401029,should,SVR
49,11.669445396251737,fine,SVR
50,11.528730367921087,otherwise,SVR
51,11.362813496399571,multiple,SVR
52,11.296662099145431,often,SVR
53,11.215438443538257,respect,SVR
54,11.167119139717766,bought,SVR
55,11.038077641598317,major,SVR
56,11.010961517622277,lets,SVR
57,10.963498703840042,at,SVR
58,10.878589317276967,term,SVR
59,10.799137528675546,please,SVR
60,10.7489426145239,consider,SVR
61,10.541529738529062,amount,SVR
62,10.456825283702509,edit,SVR
63,10.44357613719364,given,SVR
64,10.421531244534325,actually,SVR
65,10.341704942894928,ill,SVR
66,10.336756309197092,not,SVR
67,10.332305115037201,next,SVR
68,10.26655720887332,literally,SVR
69,10.251972963350104,either,SVR
70,10.189045787318816,meant,SVR
71,10.127287231250289,free,SVR
72,10.117172778950922,blood,SVR
73,10.110960714751736,mind,SVR
74,10.082726152596162,create,SVR
75,9.941511690949088,video,SVR
76,9.937184151122052,stop,SVR
77,9.829296115378224,la,SVR
